1 PROCETK procedure
2 IDEN pri
3 SEMICN ;
4 FUNCTK function
5 IDEN f
6 LPARENT (
7 IDEN n
8 COLON :
9 INTTK integer
10 RPARENT )
11 COLON :
12 INTTK integer
13 SEMICN ;
14 BEGINTK begin
15 IFTK if
16 IDEN n
17 LSS <
18 INTCON 3
19 THENTK then
20 IDEN f
21 ASSIGN :=
22 IDEN n
23 ELSETK else
24 IDEN f
25 ASSIGN :=
26 IDEN n
27 MULT *
28 IDEN f
29 LPARENT (
30 IDEN n
31 MINU -
32 INTCON 1
33 RPARENT )
34 ENDTK end
35 SEMICN ;
36 BEGINTK begin
37 WRITETK write
38 LPARENT (
39 IDEN f
40 LPARENT (
41 INTCON 5
42 RPARENT )
43 RPARENT )
44 ENDTK end
45 SEMICN ;
46 BEGINTK begin
47 IDEN pri
48 ENDTK end
49 PERIOD .
